    °„C	        No	    CH0	            CH1	            CH2	            CH3
32.072	177	0.1165231536	1323.9787712085	0.4665684978	-0.1105566091
32.106	178	0.1165367434	1321.9015790165	0.4664603750	-0.1110132999
32.150	179	0.1165545056	1319.8500466257	0.4663572589	-0.1114667720
32.197	180	0.1165734599	1317.8079019670	0.4662554542	-0.1119129724
32.236	181	0.1165889571	1315.7914171095	0.4661524574	-0.1123811074
32.270	182	0.1166024278	1313.7855716816	0.4660485069	-0.1128722497
32.312	183	0.1166194747	1311.7941207763	0.4659459869	-0.1133281060
32.345	184	0.1166328261	1309.8183160912	0.4658468047	-0.1138764688
32.387	185	0.1166493962	1307.8619127191	0.4657466689	-0.1142222949
32.432	186	0.1166676352	1305.9236589625	0.4656452218	-0.1145846912
32.460	187	0.1166788409	1304.0029289724	0.4655472318	-0.1150266001
32.492	188	0.1166915963	1302.0953418073	0.4654490033	-0.1154694626
32.539	189	0.1167105506	1300.2059042576	0.4653525630	-0.1159095833
32.566	190	0.1167212794	1298.3289836841	0.4652539769	-0.1163498233
32.606	191	0.1167374919	1296.4733419700	0.4651568213	-0.1167854140
32.638	192	0.1167502473	1294.6295913833	0.4650625268	-0.1172282766
32.677	193	0.1167656253	1292.8014870168	0.4649675170	-0.1176675628
32.713	194	0.1167801688	1290.9884030216	0.4648748913	-0.1181085180
32.745	195	0.1167930434	1289.1934686418	0.4647800007	-0.1185433935
32.777	196	0.1168059180	1287.4079219942	0.4646863022	-0.1189795803
32.816	197	0.1168214152	1285.6355181715	0.4645955840	-0.1194115948
32.847	198	0.1168340514	1283.8800122666	0.4645035544	-0.1198347878
32.880	199	0.1168471644	1282.1457852212	0.4644128361	-0.1202583385
32.921	200	0.1168636153	1280.4203200591	0.4643219986	-0.1206798625
32.961	201	0.1168794702	1278.7130045124	0.4642316380	-0.1211041284
32.988	202	0.1168903182	1277.0213351858	0.4641416349	-0.1215279175
33.014	203	0.1169008086	1275.3384277426	0.4640351810	-0.1219568325
