    °„C	        No	    CH0	            CH1	            CH2	            CH3
35.351	174	0.1178375553	1492.9429288472	0.4746482655	-0.3181890439
35.385	175	0.1178510259	1491.2944430884	0.4745799586	-0.3180831860
35.418	176	0.1178644966	1489.6484607249	0.4745116517	-0.3179772090
35.437	177	0.1178721260	1488.0093626982	0.4744444176	-0.3178751658
35.472	178	0.1178859543	1486.3633803346	0.4743780180	-0.3177684735
35.501	179	0.1178976368	1484.7274115519	0.4742998167	-0.3176591586
35.530	180	0.1179090809	1483.0914427693	0.4742403313	-0.3175881098
35.558	181	0.1179204057	1481.4592290794	0.4741697594	-0.3175355385
35.591	182	0.1179335188	1479.8276412384	0.4741025254	-0.3174601983
35.619	183	0.1179447244	1478.1954275486	0.4740352913	-0.3173737715
35.649	184	0.1179570030	1476.5719757421	0.4739667460	-0.3172826956
35.681	185	0.1179695200	1474.9422654475	0.4738984390	-0.3171773146
35.711	186	0.1179815601	1473.3238204315	0.4738314434	-0.3170925568
35.736	187	0.1179916929	1471.7016203226	0.4737612291	-0.3169899176
35.765	188	0.1180033754	1470.0825494577	0.4736941143	-0.3168730925
35.789	189	0.1180129122	1468.4678595345	0.4736259266	-0.3167606781
35.819	190	0.1180248331	1466.8594280994	0.4735575005	-0.3166421841
35.845	191	0.1180354427	1465.2459898738	0.4734899088	-0.3165240476
35.880	192	0.1180493902	1463.6363067410	0.4734208866	-0.3164035270
35.913	193	0.1180627416	1462.0272494571	0.4733534141	-0.3162840793
35.949	194	0.1180770468	1460.4269540564	0.4732859417	-0.3161660621
35.978	195	0.1180886101	1458.8297878998	0.4732185884	-0.3160486410
36.004	196	0.1180989813	1457.2276149528	0.4731525465	-0.3159296701
36.034	197	0.1181111406	1455.6304487962	0.4730817362	-0.3158178518
36.062	198	0.1181223463	1454.0376635812	0.4730143829	-0.3157063911
36.092	199	0.1181345056	1452.4455042151	0.4729442878	-0.3155936191
36.120	200	0.1181454729	1450.8570999418	0.4728774114	-0.3154835889
36.155	201	0.1181594204	1449.2724507613	0.4728085084	-0.3153765390
36.189	202	0.1181730102	1447.6890532785	0.4727425857	-0.3152716348
36.218	203	0.1181846928	1446.1019007028	0.4726749940	-0.3151701877
36.244	204	0.1181953024	1444.5228841616	0.4726057334	-0.3150723168
36.270	205	0.1182054352	1442.9482485621	0.4725383802	-0.3149689624
36.299	206	0.1182172369	1441.3723612650	0.4724693580	-0.3148727605
36.329	207	0.1182292770	1439.7958481190	0.4724018855	-0.3147751281
36.360	208	0.1182417940	1438.2293485540	0.4723354860	-0.3146743962
